Company Name,Address,City,State,Contact Person,Phone No,Mob No,Service Detail,Supplier or Booking,LCV or HCV,Email Id,Website,Vehicle Type,Segment
Batala Guwahati Roadways,"Gali No:-2 , Apsara Complex , Delhi U.P. Border ",Delhi,Delhi,Mahavir,,9*91697*20,"Lorry Supplier - Guwahati , Assam",Supplier,HCV,,,"10 Wheeler,  12 Wheeler",Parcel
Batra Freight Carrier,"CW-168 , Sanjay Gandhi Transport Nagar , Delhi.",Delhi,Delhi,Devender Pal singh,,"9*10**0019,  9*112*2*** ,  9*10**0019",Daily Parcel Service Delhi To Saharanpur & Full Load - All Over India .,Booking,"HCV, LCV",,,"Tempo,  Truck,  10 Wheeler,  6 Wheelers",All Type Material
Batra Tempo Transport Service / Batra Cargo Movers,"CB - 383 / 7, Ring Road , Naraina , Delhi.",Delhi,Delhi,"S. R. Batra, Rajan Batra","011 - 2*77*777,  2*77*000","92117*7021,   92117*7022",Full Load - All Over India .,Booking,"HCV, LCV",,,"Tempo,  Truck,  Trailer,  Container,  ODC Cargo,  10 Wheeler,  12 Wheeler",All Type Material
Beas Road Carrier,"Shop No.- B-1162 , Transit Camp , Govindpuri , Near Okhla Gol Chakkar, New Delhi",Delhi,Delhi,"G S. YADAV., Raju",011 - 29994*12,"9*1292*6*4,  9**0001792,  9*10001792","Service For Delhi ,U.P' , M.P, Haryana, Rajasthan, Punjab, Karnataka, Andhra Pradesh, Gujarat, Tamil Nadu, & All Over India","Supplier, Booking",,,,"Tempo,  Truck,  909,  1109,  1110",All Type Material
Bedi Freight Carriers,"BG-523, Sanjay Gandhi Transport Nagar, Delhi-42",Delhi,Delhi,Kuldeep Bedi,,"92120*42*7,  9*1169*0*7 ","Full Load Booking For All Over Mumbai, Delhi. Maharashtra",Supplier,,,,,
Bee Kay transport Corp.,"Shop No.- 1330 , Faseel Road , Ajmeri Gate , Delhi - 6",Delhi,Delhi,Akshay,"011 - 2*2*0*12,  *2927129",9**02*9270 ,"Full Pat: Mathura To Delhi, Hyderabad. Vijaywada, All Over V","Supplier, Booking",,,,"Truck,  6 Wheelers 1109 ,  1110",All Type Material
Bengal Freight Carrier,"7th Mile Stone , Delhi U.P. Border , Ghaziabad.",Delhi,Delhi,"Upender Singh , Gorakh Nath Yadav","0120 - *10*619,  2624011","9*121*4619,   9*1*261191","Truck Supplier - Bengal, Bihar. Assam, Orissa Kolkata",Supplier,HCV,,,"Truck,  10 Wheeler,  12 Wheeler,  6 Wheelers",All Type Material
Shree Babosa Logistic,"315/6/1 , B203 , Daya Basti , Old Main Rohtak Road , Delhi.",Delhi,Delhi,Sajjan Jindal,"011 - 2*64*41*,  *2*70606",9*1004977* ,Full Load Booking For Calcutta Line,Booking,HCV,,,10 Wheeler,White Goods
Bengal Orissa Roadways,"Rajpal Colony , By Pass Road , Badarpur Border , Faridabad.",Delhi,Delhi,"Rajkaran Yadav, Kuwar Pal",0129 - 22*092*,"9*1**64*99,  9*11214*29",Full Load - All Over North East India & Nepal .,Supplier,LCV,,,"Tempo,  Truck,  6 Wheelers ,  1109",Industrial Goods
Beriwal Carrying Corporation,"19/310 , Daya Basti , Old Rohtak Road , Delhi.",Delhi,Delhi,"Kuldeep , Manoj",,9*10102700,"Part & Full Load Accepted For All India & Special Service - M.P., Raj., Hyd., South Guj., Assam",Booking,HCV,,,10 Wheeler,All Type Material
Best Cargo Carriers Pvt. Ltd.,"511 , M.G. House-1 , 2 , Community Centre , Wazirpur Industrial Area , Delhi.",Delhi,Delhi,"Vinod Mittal , Naresh Sharma","011 - 27*74644,  27*77644","9*11*476*6,   9*7*7026**",Full Load - All Over India,Booking,LCV,info@be*ttr*n*portindi*.com,,"Tempo,  Truck,  407,  709,  909,  1109,  1110",All Type Material
Best Deal Cargo,"A-18 , Sai Complex , Sanjay Gandhi Transport Nagar , Delhi-42",Delhi,Delhi,Deepak Sharma,011 - 27**6277,"9*10044277,  9*10144277",Full Load Service All Over India,"Supplier, Booking","HCV, LCV",,,"Truck,  10 Wheeler,  12 Wheeler,  6 Wheelers","Rice ,  Wood ,  Plastic"
Best India Lorry Broker,"16-17, Guru Nanak Market , GT Karnal Road , Libaspur , Delhi",Delhi,Delhi,Vijay Kumar & Sanjay Kumar,011 - 64*2**0*,"9212*0766*,  9*1****22*","Lorry Service - Bihar Jharkhand, Bengal, Assam, Orissa, & All Over India",Supplier,,,,"10 Wheeler,  12 Wheeler",All Type Material
Best India Tempo Transport,"Chaman Lal Main Market , Alipur Road , Bhorgarh , Delhi.",Delhi,Delhi,Sukhbir Bhardwaj,011 - 277*1***,9*107***2*,Full Load - All Over India,Supplier,LCV,,,"Tempo,  Truck,  4 Wheeler To 6 Wheeler",All Type Material
Best Logistics Solution .,"9/49 , Industrial Area , Kirti Nagar , Opp.- Railway Station , New Delhi.",Delhi,Delhi,Inder Mohan Singh. Arvind Singh,"011 - 4*0721**,  4*072144","9*11427*9*,   9*1114*060",Full Load All Over India & Special Service - Punjab .,"Supplier, Booking",,,,,
Best Orient Carriers,"AG-459, Sanjay Gandhi Transport Nagar, New Delhi",Delhi,Delhi,B. S. Atwal,"011 - 42*60011,  27**2129,  27***129","9*1002*927,   9971172226 ","Lorry Supplier - M.P , Maharashtra , Chhattisgarh",Supplier,HCV,,,"Truck,  10 Wheeler,  12 Wheeler",All Type Material
Best Transport,"C-126 , Naraina Industrial Area, Phase-I, New Delhi-28",Delhi,Delhi,Harminder Singh,"011 - 41411*79,  *0***770,  41410279","9*10*7**7*,  9**004**04,  92124*0*22,  92127*6*7*","Full Load & Part Load - All Over India & Special Service For Chandigarh, Ludhiana",Booking,LCV,be*ttr*n*port002@gm*il.com,,"Tempo,  Truck,  909,  1109,  1110",All Type Material
Baghel Golden Transport,"Gate No.3 , Parkesh Indastrial State ,Pipe Market Near Shree Ram Dhram Kanta , Gyani Boder , Sahibabad , Ghaziabad.",Delhi,Delhi,"Mukesh Kumar , Rakesh",0120 - 6401721,"9*91**7411,  *7*014*492","Lorry Service - Mthura , Agra , & All Over U.P.",Supplier,LCV,,,"Tempo,  Truck,  407,  709,  909,  1109,  1110",All Type Material
Bhagwat TPT Organisation Ltd.,"Shop No.- 16/117 ,1st Floor , Gali No:- 5 , Karol Bagh , New Delhi.",Delhi,Delhi,Anil Panjeta,011 -  2*62*406,"9971*6*626,  9*1***60*2",Full Load Booking All Over India,Booking,HCV,delhibtol@gm*il.com; *nilbtol@gm*il.com,,"Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler",All Type Material
Bhagwati Cargo Packers & Movers,"Chunna Bhatti Road , U.P., Border , Delhi",Delhi,Delhi,Rajendra Sharma,,"9*12990*06,  9*11727676,  91*6*6*6*6",All Over India,Booking,LCV,,,"Tempo,  Truck,  407,  709,  909,  1109,  1110","House Hold Goods , Auto Parts"
Bhagwati Goods Carriers,"Shop - 34 , Transport Centre , New Subzi Mandi , Azadpur, Delhi- 33",Delhi,Delhi,Puran Chand,011 - 27671064,9.*1221E+79,Full Load & Part Load Booking - All Over India,Booking,"HCV, LCV",,,"Truck,  10 Wheeler,  12 Wheeler",Fruits
Bhagwati Roadlines,"6th Mile Stone , Vimal compound , U. P. Border , Ghaziabad.",Delhi,Delhi,S .K . Sharma,,9*119**794,"Full Truck Available For U.P. Bihar, Bengal, Assam .",Booking,HCV,,,"Trailer,  10 Wheeler,  18 Wheelers",All Type Material
Bhagwati Roadways,"Shop No.- 1 , New Shop Khanna Market . Tees Hazari Court , Delhi",Delhi,Delhi,Krishan Kumar,,9212**091*,"Parcel Booking - Delhi , Panipath",Booking,LCV,,,"Tempo,  1109",Clothes
Bhagwati Transport Co.,"Plot No.-547 , Main Delhi Rohtak Road , Tikri Kala , New Delhi- 41",Delhi,Delhi,B.S. Gill,"011 - 2***1602 ,  2***1600","9*99*0761* ,  *447*2****","Tata, Canter, Jumbo , Available For Bombay, Pune, Goa & All Over India",Supplier,LCV,,,"Tempo,  Truck,  407,  709,  909,  1109,  1110",Industrial Goods
Bhagwati Transport Of India (R),"6th Mile Stone, Opp. Mata Mandir U.P. Border P.O. Chikamberpur , Ghaziabad Head Office - Shop No.- J - 150 , Old Sheemapuri , Shadara , Delhi - 95",Delhi,Delhi,Ramakant Sharma,011 - 22****4* ,"9*106160*6,  9*1*0111** ","Full Truck Available For Rajasthan , Haryana , Gujarat & All Over India",Booking,"HCV, LCV",,,"Tempo,  Truck,  Trailer,  10 Wheeler,  12 Wheeler",All Type Material
Bhai Bhai Cargo,"Shop No.- 3444, Gali Lallu Missar, Qutab Road, Singhara Chowk, Sadar Bazar, Delhi",Delhi,Delhi,Mahendra Bhai,,"9**0*66*07,  9**0229612 ",Door To Door Delivery By Air & Train All Over India,Booking,,,,,
Bhai Bhai Transport Co.,"Vimal Compound ,6th Mile Stone ,Delhi - U.P., Border , Post Office - Chikamberpur , Ghaziabad.",Delhi,Delhi,Dinesh,,9*992**4**,Full Load - All Over U.P.,Supplier,HCV,,,,
Bhangu Roadlines,"Opp .- TCI , Near Singh Petrol Pump , Main Road Shahibabad , Ghaziabad",Delhi,Delhi,Daljeet Singh,,"99990077*9,  9*111**9*9","Bihar, W.Bengal Assam & Jharkhand","Supplier, Booking",HCV,,,10 Wheeler,Parcel
Bharat Agragami Parivahan,"A-72 . Nangloi , New Delhi.",Delhi,Delhi,Anand,,"996*104946,   94****7476,   996**976**","Full Load & Part Load - All Over Guwahati , Assam .",Booking,,,,,
Bharat Bhusan Carriers,"Shop No - BG-587 , Sanjay Gandhi Transport Nagar , 1st Floor , Delhi - 42",Delhi,Delhi,"Bharat Bhushan , Prem",011 - 2***2**1 ,"9*122*29*6 ,  927****170","Lorry Service - Uttrachal , Maharshtra , South",Supplier,HCV,pkum*rbbc@gm*il.com,,Container,All Type Material
Bharat Carriers,"Shop No.- 118 , Tulsi Ram Bhawan , Najafgarh Road ,S.P.M . Delhi.",Delhi,Delhi,"Surjeet , Ashok","011 - 2*104006,  2*116922","9*110**16* ,  9**0**2062",Full & Part Load Booking All Over India,Supplier,"HCV, LCV",,,14 Ft. To 40 Ft.,"Machinery,  House Hold Goods "
Bharat Freight Carriers,"Shop No.- 516 , Lahori Gate , Delhi - 6",Delhi,Delhi,Ramsaran,"011 - 2*9*2146,  2*92**70",99***11222,Parcel Booking - All Over Rajasthan .,Booking,LCV,,,"Tempo,  Truck,  6 Wheelers",All Type Material
Bharat Golden Carrier (R),"F-3 , Rawal Pindi Garden . Behind Yuvraj Complex ,Delhi U.P. Border, Ghaziabad",Delhi,Delhi,"Sunil Kumar Mahajan ,Sourabh Mahajan","0120 - 2627***,  2622*9*,  47067*0*","9*1012*976,  9**0**14**,  9*107***4*","Truck Suppler, Service: Pb., Himachal , J&K , Bangalore All Over India","Supplier, Booking","HCV, LCV",,,"Tempo,  Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler",All Type Material
Bharat Road Line (India),"AW-12, 1st Floor, S.G.T.N. New Delhi - 42",Delhi,Delhi,Attar Singh,"011 - 47**1*9*,  47**1*92","99112299*0,  9*1**60964","Service: Hyd, Nagpur, A.P., Gwalior ,Bhopal, , Pune & All Over India",Supplier,,,,,
Bharat Roadways,"Near Tele Phone Exchange, U.P Border , Ghaziabad",Delhi,Delhi,Santosh Pareek,,"9*10*6*914,  9*10*6*914",Full Load Booking - All Over India,Supplier,HCV,,,"Trailer,  10 Wheeler,  12 Wheeler",
Bharat Tempo Transport Service,"201, Kamla Market, New Delhi-2",Delhi,Delhi,"Surinder Sahni, Chandan Sahni","011 - 2*2**7*7,  2*2*91*6,  2*2*00*2,  2*2*4404","9711**11*6,  9711**11*2,  9711**1174","All Over India & Special Service - . M.P, C.G., Maha., Kar., P.B., Rak U.P., Jk","Supplier, Booking",LCV,,,"Tempo,  Truck,  407,  709,  909,  1109,  1110",All Type Material
Bharat Trailer Syndicate,"Shop No.- 339, Apsara Complex, Delhi, U.P. Border , Ghaziabad",Delhi,Delhi,Ram Singh,"0120 - 2611772,  411*164,  2626*29","9*1029*164,  9*1029*16*",Service All Over India,Supplier,HCV,,,Trailer,Machinery
Bharat Transport Agency / Jaipur Golden TPT Pvt. Ltd.,"Shop No.- 794, D.B. Gupta Road, Chapparwala Chowk, Karol Bagh, NewDelhi-5",Delhi,Delhi,L.K. Bhutania,"011 - 2**24211,  2**4779*",,Parcel Booking - All Over India,Booking,,,,,
Bharat Transport Co.,"PVC Road , Near Lantern Factory ,Tikri Kalan , New Delhi.",Delhi,Delhi,Pawan Kumar,,"09*9601601*,   9**214*142","Full Load - Mumbai, Goa .",Supplier,LCV,,,"Tempo,  Truck,  6 Wheelers 1109 ,  1110",All Type Material
Bharat Transport Co.,"CW-153, 1st Floor, Sanjay Gandhi Transport Nagar , Delhi",Delhi,Delhi,"Sanjay Sharma, Anil Pandey",,"9*119*9*** ,  971*46*460 ",All Over South India,Supplier,"HCV, LCV",,,"Tempo,  Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler",All Type Material
Bharatpur Roadlines / Buland Shahar Golden TPT.,"Shop No.- 4141, Naya Bazar, Delhi-6",Delhi,Delhi,Subhash,"011 - 2*962966,  2*9**1*2",,Parcel Booking - U.P. & Rajasthan,Booking,"HCV, LCV",,,"Tempo,  Truck,  10 Wheeler,  12 Wheeler",Auto Parts
Bhardwaj Cargo Lifter,"M-154, Gali No:- 11, Shastri Nagar, Near Inderlok Metro Station Delhi.",Delhi,Delhi,Narender Bhardwarj,011 - *2919742,"9*1167***6,  9**0**7147",All Over India,Booking,"HCV, LCV",bh*rdw*jc*rgolifter@gm*il.com,,"Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler,  4 Wheeler, 6 Wheeler",All Type Material
Bhardwaj Carrier,"B- 72 , S- 73 , 3rd Floor , Rohit House , Vishwakarma Colony New Delhi.",Delhi,Delhi,D. K. Bhardwaj,"011 - 26*64219,  26*6**14 / 1*",9*10610060 ,Full Load - All Over India,Booking,HCV,bonny@bh*rdw*jc*rrier*.com,,Container,All Type Material
Bhardwaj Carriers .,"Plot No.: E-8, Khasra No.: 35/8, Near Mohan Vilas Farmhouse, Behind Shamshan Ghat , Nanglipoona Extension , Delhi",Delhi,Delhi,Mr. Bhardwaj,,"9*10012*22,   9*10012***,   9*10012*44,   9*10012***,   9*10012*77,   9*10012*99",Full / Parcel Load Booking For All Over India,Booking,HCV,bh*rdw*j@bh*rdw*j-c*rrier*.com,www.bhardwaj-carriers.com,,
Bhardwaj Logistics,"Shop No.- 11 ,R.s Bajwa Compound ,Near. Transport Nagar , Check Post , U.P., Border ,Sahibabad , Ghaziabad",Delhi,Delhi,Naresh Kumar Sharma,0120 - 2*9149*,"9*1*6697*6,  **00142127",Full Load Booking For All Over India,"Supplier, Booking","HCV, LCV",*n*h*rm*85@gm*il.com,,"Tempo,  Truck,  Trailer,  10 Wheeler,  12 Wheeler",All Type Material
Vijendra Transport Service .,"B-374 , Transit Camp , Govindpuri , KalkaJi , New Delhi.",Delhi,Delhi,Vijender,011 - *2***609,"9*1*7*47*4,   9*1*0*6770",Full Load & Part Load - All Over India .,Booking,,bp*okhl*@gm*il.com,,"Tempo,  Truck,  407,  709,  909,  1109,  1110",All Type Material
Bhardwaj Tempo Transport Service,"Shop No.- A-1 , Main Bawana Road , SamayPur , Delhi - 42",Delhi,Delhi,Satpal Bhardwaj,"011 - 27**4***,  27***4*4","9*1*4*11** ,  921200*600",Full Load Service - All Over India,Booking,LCV,,,"Truck,  6 Wheelers","All Type Material,  Industrial Goods"
Bhardwaj Transport Company,"74, 1st Floor, Truck Market, Gulabi Bagh, Delhi",Delhi,Delhi,H.K Bhardwaj,,"9*1116*220,  9*1016*220 ",32 High Container For - All Over India & Special Service - Assam,Supplier,HCV,,,"Container,  32 Ft.",
Bharti Road Carrier,Main Rohtak Road Opp. Toll Tax Tata Telco Service Tikri b New Delhi,Delhi,Delhi,Samunder Singh,"011 - 2***2*9*,  2***2*94","9*1112**22,   991**6*22",Full & Part Load All Over India,Booking,"HCV, LCV",,,,
Bharti Roadlines,"Shop No. - 93 , Transport Center , New Rohtak Road , Near Punjabi Bagh , New Delhi.",Delhi,Delhi,Deepak Aggarwal,011 - 2*22***4,9*1*11*611 ,Tankar Supplier - All Over India,Supplier,HCV,bh*rtiro*dline*@gm*il.com,,"Tankers ,  10 Wheeler",Oil
Bihar Freight Carriers,"7th Mile Stone, Bajwa Compound, Giani Border , Ghaziabad",Delhi,Delhi,HK Singh,"0120 - 2612097,  261*697","9*12*02*97,  9*11*02*97,  9*10*02*97","Truck Available For - U.P. Bihar, Bengal, Assam, Jharkhand All Over India","Supplier, Booking",HCV,,,"Trailer,  10 Wheeler,  12 Wheeler",All Type Material
Bihar Jharkhand Transport Service,"Shop No.- 1/6 , Basement Kirti Nagar, Industrial Area , New Delhi - 15",Delhi,Delhi,Joginder Singh,011 - 4*0*27*4,"996*014719,  9*6*0*1*21 ,  99907*6677","Uttaranchal, U. P. Bihar , Chandigarh & All Over India",Booking,LCV,,,"Tempo,  Truck,  407,  709,  909,  1109,  1110",All Type Material
Bihar Kashmir Roadways,"204/1 , 1st floor, Sarai Pipal Thala , Azadpur , Delhi",Delhi,Delhi,Naveen Kumar,,"9211*27**6,  9717226*74",All Over Jammu & Kashmir .,Supplier,,,,"Tempo,  Truck,  6 Wheelers",Vegetable & Fruits
Bihar Roadlines,"Vimal Compound, U.P. Border, PO. Chikamberpur, Ghaziabad",Delhi,Delhi,Devendra Singh,,"9*1*976691,   9*1*279**7","Truck Avail. For Bihar, Bengal, Jharkhand",Supplier,HCV,,,10 Wheeler,All Type Material
Bikaner Assam Roadlines India Ltd.,"Shop No .- 31, Srinagar Colony, Near Shakti Nagar Extension ., Ashok Vihar , New Delhi.",Delhi,Delhi,,"011 - 2*6*1*0*,  2629*2*,  2622**4 ",,Daily Parcel Booking For All Over Assam,Booking,"HCV, LCV",,,"Truck,  10 Wheeler,  12 Wheeler,  6 Wheelers",All Type Material
Bilai Goods Carrier (Regd.),"10619, Jhandewalan Road (Nabi Karim) New Delhi-55",Delhi,Delhi,Ziauddin,011 - *2999479,9*111*1171,"Daily Parcel Service For: Delhi, J & K, Chennai, Bangalore, Jaipur & All Over India",Booking,HCV,,,"Truck,  10 Wheeler",All Type Material
Billing Roadways (India),"Shop No .- BG-531, Sanjay Gandhi Transport Nagar , Delhi-42",Delhi,Delhi,"Jogender Singh , Ravinder Singh",011 - *2**7026,"9*11**9176,  9*1***9176",Lorry Supplier - All Over Maharashtra,Supplier,HCV,,,"Truck,  Container,  10 Wheeler,  32 Ft. 6 Wheeler",All Type Material
Bindra Transport Co. ( Regd.),"Near Telephone Exchange , Charan Singh Compound , U.P. Border , Delhi",Delhi,Delhi,Narender Singh,0120 - 262902*,9*11*24614 ,Parcel Booking For U.P. & Uttranchal,Booking,LCV,,,"Tempo,  Truck,  407,  709,  909,  1109,  1110",All Type Material
Bipin Transport Pvt. Ltd.,"E 14, Room No. 102, Vishwakarma Colony, MB Road , New Delhi-44",Delhi,Delhi,S.S. Chaudhary,,"9*10046610,   9*10046611",All Over India,Booking,"HCV, LCV",delhi@bipintr*n*port.com,www.bipintransport.com,"Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler,  4 Wheeler,  6 Wheeler",All Type Material
Bisht Road Lines,"Godown Capital Hind Compound , Shani Dev, Mandir Chikamberpur U.P.,Border Ghaziaba.",Delhi,Delhi,R.S. Bisht,,"971***271* ,  9910**2*66,  9*7170460*",Full Truck Services - All Over India,Booking,HCV,,,"10 Wheeler,  12 Wheeler","Industrial Goods,  Machinery"
Bitoo Roadlines,"Shop No.- AW-107 , Basement , Sanjay Gandhi Transport Nagar Delhi - 42.",Delhi,Delhi,N.P. Singh,,"9*10626*6* ,  9*11626*6*","Daily Service - Delhi , Haryana , Rajasthan , U.P. , H.P. , M.P. , Uttaranchal , Patna",Supplier,LCV,,,"Truck,  6 Wheelers",Light Weight Material
Bless Carriers (P) Ltd.,"Shop No.- 602 , GDITL North Extension, Tower Pitampura , New Delhi",Delhi,Delhi,"Sanjeev Arora, Pandey ji","011 - 2*77*026,  2*77*662","9*101*2*41,  9*101*2*4*",All Over India,"Supplier, Booking","HCV, LCV",bl*cpl@gm*il.com,,"Truck,  10 Wheeler,  6 Wheelers",All Type Material
Boby Road Carriers,"Shop No.- A-268 , New Subzi Mandi , Azadpur , Delhi.",Delhi,Delhi,"Krishan Gopal Sood, Sachin Sood , Sonu","011 - 27670407,  276*2207","9*111****9 ,  9*111****9",All Over India,Supplier,HCV,,,12 Wheeler,
Bombay Agra Transport Carrier,"Shop No .- CW-247, Sanjay Gandhi Transport Nagar, Delhi-42",Delhi,Delhi,Jasvinder Singh (Sonu),,"92120**6*1 ,  9*116021*6 ,  *1*0*7141* ",Lorry Service - All Over India & Special Service - South,"Supplier, Booking",HCV,,,10 Wheeler,All Type Material
Bombay Agra Transport Corporation,"2/13, Rawalpindi Garden U.P. Border",Delhi,Delhi,Balbir Singh,,9*917*4**7 ,All Over India,Supplier,HCV,,,"Trailer,  10 Wheeler,  12 Wheeler",
Bombay Ahemdabad Roadlines,"Bypass Road , Anand Dairy , Near K.G. Khosla Company , Faridabad.",Delhi,Delhi,Jagdish Sharma,,"9**0***7*9,  921206*627",All Over South,Supplier,LCV,,,"Truck,  6 Wheelers 1109 ,  1110",All Type Material
Bombay Andhra Roadways Pvt. Ltd.,"94, Khanna Mrkt., St. Steefen Hospital, Tis Hazhari Delhi 54",Delhi,Delhi,Jasbir Sharma,"011 - 2*976*01,  6**7**22",9*11901*1*,All Over India,"Supplier, Booking","HCV, LCV",,,"Truck,  Trailer,  Container,  ODC Cargo,  10 Wheeler,  12 Wheeler,  4 Wheeler,  6 Wheeler",All Type Material
Bombay Banaras Transport Co. (Regd.),"6th Mile Stone , Delhi U.P.B. Near Telephone Exchange . Chikamberpur , Ghaziabad",Delhi,Delhi,Kishan,"0120 - 26277*0,  26279*6,  0120 - 2622141","9*1*146*99 ,  9*10926*26",Parcel Service - Delhi To Mumbai & Gujarat,Booking,HCV,bbtc_01@y*hoo.com,,10 Wheeler,All Type Material
Bombay Bangalore Roadways,"Shop No.- A-89 , Ramgarh , Opp. - G.T.K. Bus Depot , Delhi - 33",Delhi,Delhi,Raghuveer,"011 - 276*10*0,  276****0,  276**6*0","9*1*7190*0 ,  **76*6*9*0","Daily Service Full Truck & LCV For Gujarat, Maharashtra, Karnataka, All Over India",Supplier,LCV,bomb*yb*ng*lorero*dw*y*@gm*il.com,,"Tempo,  Truck,  Container,  407,  709,  909,  1109,  1110",All Type Material
Bombay Banglore Container Service,"Mata Chowk , Rangpuri , Mahipalpur , Delhi - 37",Delhi,Delhi,Mukesh Sharma,,"9**010*42* , 9*1292994*",Lorry Supplier - All Over India,Supplier,"HCV, LCV",,,"Container,  32 Ft.",All Type Material
Bombay Banglore Freight Carriers (R),"Shop No.- AG-79 , Sanjay Gandhi Transport Nagar , Delhi",Delhi,Delhi,Shyam Arora,"011 - 6***9**0,  42*6*111,  2**21***,  2**276**","9*100*09*9,  9*100*09*9",Full Load & Part Load - All Over India,Booking,"HCV, LCV",,,"Tempo,  Truck,  Trailer,  10 Wheeler,  12 Wheeler",All Type Material
Bombay Bareilly Carriers (R),"Shop No.- 871 , S.P. Mukherji Marg , Delhi-6",Delhi,Delhi,"Ajit Kumar , Pawan Kumar",011 - 27**214*,"9*10109*7* ,  9*1094****","Daily Parcel Booking For All Over U.P , Bareilly, Rampur, Bilaspur, Haldwani, Almora, Ranikhet, Pilibhit , Sitapur & All Over Uttrakhand",Booking,LCV,bbgc871@gm*il.com,,"Truck,  6 Wheelers",All Type Material
Bombay Calcutta Roadlines,"CW-540, Sanjay Gandhi Transport Nagar, Delhi",Delhi,Delhi,"Vinod Sethi, Vishal Sethi",011 - 27**1090,"9*91*6*02*,  9*99001499","Full Truck Service All Andhra Pradesh, Bangal",Supplier,"HCV, LCV",,,"Truck,  Trailer,  Container,  ODC Cargo,  10 Wheeler,  12 Wheeler,  407,  709,  909,  11 09,  14 Ft.,  17 Ft.,  19 Ft.,  22 Ft.,  24 Ft.",All Type Material
Bombay Delhi Carriers (R),"10815 , Jhandewalan Road , Nabi Karim , New Delhi . Branch Office - Shop No.- BG 298 , Sanjay Gandhi Transport Nagar , Delhi.",Delhi,Delhi,Naresh Anand,011 - 2**29276,9*1*741*00 ,Parcel Booking For All Over Mumbai,Booking,,,,"Truck,  10 Wheeler",All Type Material
Bombay Goods Freight Carriers,"Shop No.- 416 , Vardhman City Plaza- 2 , Near haz Mandir , Vardhman Gate , Asaf Ali Road, Delhi",Delhi,Delhi,C. M . Shukla Ji,"4**24271,  2*2**6**",9**04*1426 ,Full Load Booking For All India,"Supplier, Booking","HCV, LCV",,,,
Bombay Gujrat Road Carrier,"S - 7 , Community Centre , Mayapuri , Phase -I , New Delhi -64",Delhi,Delhi,S.L.Gupta,"011 - 2*1140**,  2*11764*",9*11*9*2*4 ,Full Load Service - All Over India,Booking,"HCV, LCV",,,"Tempo,  Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler",All Type Material
Bombay Gujrat Roadlines,"Shop No.- AW-371, Sanjay Gandhi Transport Nagar, Delhi-42",Delhi,Delhi,"Ashok Kumar, Om Prakash","011 - 27***496,  47**2196","9*1117*4*0,  9*11900619",Lorry Service - All Over Gujarat & Mumbai,Supplier,"HCV, LCV",,,"Truck,  10 Wheeler,  6 Wheelers","Rice ,  Parcel"
Bombay Gujarat Roadways,"6th Mile Stone , Balaji Complex , U.P.B. , Delhi",Delhi,Delhi,Dharamvir Kaushik ,0120 - 4107029,"9*11****0*,  *010****0* ,  *010062*99",Full Load - All Over India,Booking,"HCV, LCV",bgr.k*u*hik@gm*il.com,,"Tempo,  Truck,  Trailer,  Container,  10 Wheeler,  12 Wheeler",All Type Material
Bombay Kandla Transport Co.,"Shop No.- AW-126 , Sanjay Gandhi Transport Nagar , Delhi -42",Delhi,Delhi,Bharat Dua,"011 - 27*2***6,  27211246","9*11**7999 ,  9**01**011",Full Load - All Over India,Booking,HCV,,,"Truck,  10 Wheeler,  12 Wheeler,  6 Wheelers",All Type Material
Bombay Kandla Transport Corporation,"Shop No.- 58 , 1St Floor , Transport Centre , New Subzi Mandi , Azadpur, Delhi-11",Delhi,Delhi,Anand,011 - 276*21**,"9*990*077* ,  9*91*0*091",Full Load & Part Load - All Over India,"Supplier, Booking",HCV,bomb*yk*ndl*@gm*il.com,,"10 Wheeler,  12 Wheeler",All Type Material
Bombay Karnal Roadways (Regd.),"Shop No.- C-26 , New Subzi Mandi , Azadpur , Delhi.",Delhi,Delhi,"Ravinder Khurana , Vishal Khurana",,"9*126470*0 ,  9*91*29176",Parcel Booking - All Over India,Booking,LCV,,,"Truck,  6 Wheelers",Vegetable & Fruits
Bombay Kashmir Transport,"Shop No.- 6 , Baggha Bhavan , Near Shani Mandir , Delhi U.P Border , Post Office - Chikamberpur , Ghaziabad.",Delhi,Delhi,J. D . Sharma / Surendra Singh,"0120 - 262421*,  26221**","9*11440946,   9*114*7*4*,   9*1*697966 ",Full Truck Available For Jammu & Kashmir,Supplier,"HCV, LCV",,,"Truck,  10 Wheeler,  12 Wheeler,  6 Wheelers",All Type Material
Bombay Kolkata Transport Co.,"Shop No.- 47, 1st Floor , Transport Centre , Azadpur , Delhi",Delhi,Delhi,"Vijay Dora , Manoj Dora , Keshav",,"9*12917*71 ,  9*7*917*71 ,  9*106*4606",Lorry Service - Delhi To Kolkata To Delhi,Supplier,HCV,m*noj.dor*3@gm*il.com,,"10 Wheeler,  12 Wheeler",All Type Material
